Year,Product,India_Exports,Global_Exports,India_Export_Percentage,Export_Rank,Prev_Exports,Export_Growth_Percentage,India_Imports,Global_Imports,India_Import_Percentage,Import_Rank,Prev_Imports,Import_Growth_Percentage,India_Total_Trade,Global_Total_Trade,India_Total_Trade_Percentage,Trade_Rank,Prev_Total_Trade,Total_Trade_Growth_Percentage,Trade_Deficit,Prev_Trade_Deficit,Trade_Deficit_Growth_Percentage
1992,Chemicals,1392,327253,0.43,27,1510,-7.81,3468,343987,1.01,25,3102,11.8,4860,671240,0.72,25,4612,5.38,2076,1592,30.4
1992,Clothing,3099,136893,2.26,14,2527,22.64,4,143865,0.0,94,2,100.0,3103,280758,1.11,20,2529,22.7,-3095,-2525,22.57
1992,Electronic data processing and office equipment,76,106116,0.07,19,66,15.15,182,80963,0.22,23,147,23.81,258,187079,0.14,24,213,21.13,106,81,30.86
1992,Food,3346,343428,0.97,23,3002,11.46,924,351683,0.26,45,527,75.33,4270,695111,0.61,32,3529,21.0,-2422,-2475,-2.14
1992,Fuels,586,143610,0.41,21,423,38.53,7217,340704,2.12,12,5837,23.64,7803,484314,1.61,21,6260,24.65,6631,5414,22.48
1992,Fuels and mining products,1530,409751,0.37,46,1432,6.84,8863,473946,1.87,13,7087,25.06,10393,883697,1.18,26,8519,22.0,7333,5655,29.67
1992,Integrated circuits and electronic components,23,64671,0.04,17,50,-54.0,241,62742,0.38,18,201,19.9,264,127413,0.21,17,251,5.18,218,151,44.37
1992,Iron and steel,499,100498,0.5,29,319,56.43,816,104286,0.78,28,779,4.75,1315,204784,0.64,32,1098,19.76,317,460,-31.09
1992,Machinery and transport equipment,1454,1382886,0.11,35,1347,7.94,3458,1327286,0.26,42,2636,31.18,4912,2710172,0.18,40,3983,23.32,2004,1289,55.47
1992,Manufactures,15148,2735461,0.55,27,12828,18.09,12028,2738084,0.44,38,9726,23.67,27176,5473545,0.5,31,22554,20.49,-3120,-3102,0.58
1992,Office and telecom equipment,143,362625,0.04,35,154,-7.14,602,364067,0.17,44,451,33.48,745,726692,0.1,43,605,23.14,459,297,54.55
1992,Pharmaceuticals,431,16929,2.55,6,483,-10.77,314,18834,1.67,14,228,37.72,745,35763,2.08,8,711,4.78,-117,-255,-54.12
1992,Telecommunications equipment,43,91171,0.05,22,38,13.16,180,71601,0.25,25,103,74.76,223,162772,0.14,25,141,58.16,137,65,110.77
1992,Textiles,2932,124837,2.35,14,2530,15.89,166,119382,0.14,59,135,22.96,3098,244219,1.27,20,2665,16.25,-2766,-2395,15.49
1992,Transport equipment,702,257003,0.27,14,590,18.98,604,212933,0.28,25,429,40.79,1306,469936,0.28,23,1019,28.16,-98,-161,-39.13
1991,Agricultural products,3361,409524,0.82,27,3506,-4.14,1135,432964,0.26,46,1721,-34.05,4496,842488,0.53,34,5227,-13.99,-2226,-1785,24.71
1991,Automotive products,292,321591,0.09,27,198,47.47,168,311341,0.05,57,260,-35.38,460,632932,0.07,43,458,0.44,-124,62,-300.0
1991,Chemicals,1510,304271,0.5,27,1330,13.53,3102,316995,0.98,25,3076,0.85,4612,621266,0.74,25,4406,4.68,1592,1746,-8.82
1991,Clothing,2527,119106,2.12,13,2530,-0.12,2,126297,0.0,97,2,0.0,2529,245403,1.03,22,2532,-0.12,-2525,-2528,-0.12
1991,Electronic data processing and office equipment,66,87152,0.08,16,112,-41.07,147,63597,0.23,20,237,-37.97,213,150749,0.14,19,349,-38.97,81,125,-35.2
1991,Food,3002,315068,0.95,25,2782,7.91,527,324710,0.16,53,771,-31.65,3529,639778,0.55,35,3553,-0.68,-2475,-2011,23.07
1991,Fuels,423,123102,0.34,20,522,-18.97,5837,343754,1.7,13,6495,-10.13,6260,466856,1.34,21,7017,-10.79,5414,5973,-9.36
1991,Fuels and mining products,1432,406576,0.35,45,1553,-7.79,7087,475586,1.49,14,8433,-15.96,8519,882162,0.97,29,9986,-14.69,5655,6880,-17.81
1991,Integrated circuits and electronic components,50,52459,0.1,13,39,28.21,201,46220,0.43,15,251,-19.92,251,98679,0.25,15,290,-13.45,151,212,-28.77
1991,Iron and steel,319,100694,0.32,33,242,31.82,779,102516,0.76,29,1136,-31.43,1098,203210,0.54,34,1378,-20.32,460,894,-48.55
1991,Machinery and transport equipment,1347,1273037,0.11,34,1332,1.13,2636,1225847,0.22,45,4189,-37.07,3983,2498884,0.16,40,5521,-27.86,1289,2857,-54.88
1991,Manufactures,12828,2502807,0.51,27,12523,2.44,9726,2507991,0.39,38,12170,-20.08,22554,5010798,0.45,35,24693,-8.66,-3102,-353,778.75
1991,Office and telecom equipment,154,330309,0.05,35,182,-15.38,451,326636,0.14,43,662,-31.87,605,656945,0.09,41,844,-28.32,297,480,-38.13
1991,Pharmaceuticals,483,13144,3.67,5,453,6.62,228,13543,1.68,13,258,-11.63,711,26687,2.66,7,711,0.0,-255,-195,30.77
1991,Telecommunications equipment,38,74411,0.05,18,31,22.58,103,52325,0.2,22,173,-40.46,141,126736,0.11,22,204,-30.88,65,142,-54.23
1991,Textiles,2530,115325,2.19,14,2180,16.06,135,110587,0.12,55,240,-43.75,2665,225912,1.18,20,2420,10.12,-2395,-1940,23.45
1991,Transport equipment,590,225380,0.26,12,491,20.16,429,181458,0.24,21,1000,-57.1,1019,406838,0.25,18,1491,-31.66,-161,509,-131.63
1990,Agricultural products,3506,400484,0.88,24,2931,19.62,1721,429504,0.4,38,1613,6.7,5227,829988,0.63,33,4544,15.03,-1785,-1318,35.43
1990,Automotive products,198,385853,0.05,36,,,260,339669,0.08,56,,,458,725522,0.06,50,,,62,,
1990,Chemicals,1330,348382,0.38,30,359,270.47,3076,335593,0.92,26,0,,4406,683975,0.64,28,359,1127.3,1746,-359,-586.35
1990,Clothing,2530,117708,2.15,14,2060,22.82,2,135493,0.0,102,3,-33.33,2532,253201,1.0,21,2063,22.73,-2528,-2057,22.9
1990,Electronic data processing and office equipment,112,82564,0.14,18,,,237,61418,0.39,20,,,349,143982,0.24,19,,,125,,
1990,Food,2782,322537,0.86,24,2593,7.29,771,348155,0.22,48,762,1.18,3553,670692,0.53,35,3355,5.9,-2011,-1831,9.83
1990,Fuels,522,259083,0.2,38,,,6495,397989,1.63,14,,,7017,657072,1.07,26,,,5973,,
1990,Fuels and mining products,1553,436970,0.36,45,1487,4.44,8433,507832,1.66,14,6184,36.37,9986,944802,1.06,27,7671,30.18,6880,4697,46.48
1990,Integrated circuits and electronic components,39,49749,0.08,16,,,251,45126,0.56,16,,,290,94875,0.31,16,,,212,,
1990,Iron and steel,242,119690,0.2,37,99,144.44,1136,117551,0.97,25,841,35.08,1378,237241,0.58,34,940,46.6,894,742,20.49
1990,Machinery and transport equipment,1332,1427663,0.09,38,,,4189,1287759,0.33,39,,,5521,2715422,0.2,42,,,2857,,
1990,Manufactures,12523,2411866,0.52,27,11159,12.22,12170,2410995,0.5,35,12806,-4.97,24693,4822861,0.51,30,23965,3.04,-353,1647,-121.43
1990,Office and telecom equipment,182,329230,0.06,38,236,-22.88,662,330629,0.2,42,889,-25.53,844,659859,0.13,41,1125,-24.98,480,653,-26.49
1990,Pharmaceuticals,453,11820,3.83,5,,,258,12168,2.12,10,,,711,23988,2.96,7,,,-195,,
1990,Telecommunications equipment,31,75036,0.04,20,,,173,56773,0.3,25,,,204,131809,0.15,24,,,142,,
1990,Textiles,2180,124212,1.76,16,1810,20.44,240,117610,0.2,50,209,14.83,2420,241822,1.0,21,2019,19.86,-1940,-1601,21.17
1990,Transport equipment,491,207128,0.24,12,,,1000,188160,0.53,18,,,1491,395288,0.38,18,,,509,,
1989,Agricultural products,2931,371559,0.79,29,2474,18.47,1613,400638,0.4,41,2434,-33.73,4544,772197,0.59,35,4908,-7.42,-1318,-40,3195.0
1989,Clothing,2060,93324,2.21,13,1508,36.6,3,100689,0.0,94,3,0.0,2063,194013,1.06,22,1511,36.53,-2057,-1505,36.68
1989,Food,2593,277555,0.93,24,2212,17.22,762,283160,0.27,47,1559,-51.12,3355,560715,0.6,31,3771,-11.03,-1831,-653,180.4
1989,Fuels and mining products,1487,358530,0.41,44,1181,25.91,6184,428833,1.44,15,4781,29.35,7671,787363,0.97,28,5962,28.66,4697,3600,30.47
1989,Manufactures,11159,2101233,0.53,28,9391,18.83,12806,2107543,0.61,30,11001,16.41,23965,4208776,0.57,29,20392,17.52,1647,1610,2.3
1989,Office and telecom equipment,236,267839,0.09,36,168,40.48,889,266653,0.33,33,841,5.71,1125,534492,0.21,35,1009,11.5,653,673,-2.97
1989,Textiles,1810,95450,1.9,15,1585,14.2,209,92338,0.23,49,185,12.97,2019,187788,1.08,21,1770,14.07,-1601,-1400,14.36
1988,Agricultural products,2474,356443,0.69,30,2533,-2.33,2434,383953,0.63,27,2139,13.79,4908,740396,0.66,31,4672,5.05,-40,-394,-89.85
1988,Clothing,1508,84400,1.79,14,1402,7.56,3,91558,0.0,90,2,50.0,1511,175958,0.86,23,1404,7.62,-1505,-1400,7.5
1988,Food,2212,264650,0.84,26,2220,-0.36,1559,272134,0.57,31,1449,7.59,3771,536784,0.7,27,3669,2.78,-653,-771,-15.3
1988,Fuels and mining products,1181,306612,0.39,46,1050,12.48,4781,367670,1.3,17,4492,6.43,5962,674282,0.88,32,5542,7.58,3600,3442,4.59
1988,Manufactures,9391,1950649,0.48,27,7497,25.26,11001,1952991,0.56,32,9148,20.26,20392,3903640,0.52,31,16645,22.51,1610,1651,-2.48
1988,Office and telecom equipment,168,247142,0.07,37,100,68.0,841,244173,0.34,33,638,31.82,1009,491315,0.21,35,738,36.72,673,538,25.09
1988,Textiles,1585,89511,1.77,15,1573,0.76,185,86374,0.21,50,142,30.28,1770,175885,1.01,21,1715,3.21,-1400,-1431,-2.17
1987,Agricultural products,2533,311683,0.81,29,2619,-3.28,2139,337763,0.63,28,1676,27.63,4672,649446,0.72,31,4295,8.78,-394,-943,-58.22
1987,Clothing,1402,77728,1.8,13,1061,32.14,2,83567,0.0,92,2,0.0,1404,161295,0.87,24,1063,32.08,-1400,-1059,32.2
1987,Food,2220,231417,0.96,23,2290,-3.06,1449,242297,0.6,29,1108,30.78,3669,473714,0.77,27,3398,7.98,-771,-1182,-34.77
1987,Fuels and mining products,1050,297534,0.35,48,876,19.86,4492,361901,1.24,19,3467,29.56,5542,659435,0.84,32,4343,27.61,3442,2591,32.84
1987,Manufactures,7497,1675756,0.45,29,5876,27.59,9148,1659046,0.55,31,10511,-12.97,16645,3334802,0.5,29,16387,1.57,1651,4635,-64.38
1987,Office and telecom equipment,100,200194,0.05,37,75,33.33,638,196951,0.32,37,581,9.81,738,397145,0.19,39,656,12.5,538,506,6.32
1987,Textiles,1573,82847,1.9,15,1062,48.12,142,79593,0.18,53,117,21.37,1715,162440,1.06,21,1179,45.46,-1431,-945,51.43
1986,Agricultural products,2619,270621,0.97,26,2568,1.99,1676,291601,0.57,33,1921,-12.75,4295,562222,0.76,30,4489,-4.32,-943,-647,45.75
1986,Clothing,1061,60210,1.76,14,930,14.09,2,65600,0.0,91,0,,1063,125810,0.84,23,930,14.3,-1059,-930,13.87
1986,Food,2290,207703,1.1,22,2310,-0.87,1108,217316,0.51,35,1366,-18.89,3398,425019,0.8,27,3676,-7.56,-1182,-944,25.21
1986,Fuels and mining products,876,263426,0.33,48,1245,-29.64,3467,329655,1.05,20,5431,-36.16,4343,593081,0.73,38,6676,-34.95,2591,4186,-38.1
1986,Manufactures,5876,1388482,0.42,32,5312,10.62,10511,1375308,0.76,25,8829,19.05,16387,2763790,0.59,27,14141,15.88,4635,3517,31.79
1986,Office and telecom equipment,75,160602,0.05,37,43,74.42,581,158454,0.37,35,366,58.74,656,319056,0.21,37,409,60.39,506,323,56.66
1986,Textiles,1062,68214,1.56,16,1054,0.76,117,65596,0.18,52,125,-6.4,1179,133810,0.88,25,1179,0.0,-945,-929,1.72
1985,Agricultural products,2568,242610,1.06,22,2570,-0.08,1921,257450,0.75,26,1911,0.52,4489,500060,0.9,23,4481,0.18,-647,-659,-1.82
1985,Clothing,930,45969,2.02,11,831,11.91,0,50409,0.0,109,0,,930,96378,0.96,21,831,11.91,-930,-831,11.91
1985,Food,2310,183564,1.26,19,2303,0.3,1366,187175,0.73,25,1467,-6.88,3676,370739,0.99,21,3770,-2.49,-944,-836,12.92
1985,Fuels and mining products,1245,370277,0.34,44,2094,-40.54,5431,432890,1.25,15,5445,-0.26,6676,803167,0.83,32,7539,-11.45,4186,3351,24.92
1985,Manufactures,5312,1147067,0.46,30,5229,1.59,8829,1141400,0.77,24,7049,25.25,14141,2288467,0.62,28,12278,15.17,3517,1820,93.24
1985,Office and telecom equipment,43,131499,0.03,40,19,126.32,366,131346,0.28,38,282,29.79,409,262845,0.16,41,301,35.88,323,263,22.81
1985,Textiles,1054,54867,1.92,14,1175,-10.3,125,52423,0.24,50,91,37.36,1179,107290,1.1,21,1266,-6.87,-929,-1084,-14.3
1984,Agricultural products,2570,256160,1.0,23,2509,2.43,1911,264402,0.72,27,2227,-14.19,4481,520562,0.86,26,4736,-5.38,-659,-282,133.69
1984,Clothing,831,44487,1.87,11,694,19.74,0,47366,0.0,106,1,-100.0,831,91853,0.9,22,695,19.57,-831,-693,19.91
1984,Food,2303,194132,1.19,19,2187,5.3,1467,191584,0.77,24,1783,-17.72,3770,385716,0.98,22,3970,-5.04,-836,-404,106.93
1984,Fuels and mining products,2094,388005,0.54,39,1985,5.49,5445,454076,1.2,17,5549,-1.87,7539,842081,0.9,29,7534,0.07,3351,3564,-5.98
1984,Manufactures,5229,1089719,0.48,28,4632,12.89,7049,1078959,0.65,31,7503,-6.05,12278,2168678,0.57,31,12135,1.18,1820,2871,-36.61
1984,Office and telecom equipment,19,126228,0.02,42,29,-34.48,282,124981,0.23,43,253,11.46,301,251209,0.12,45,282,6.74,263,224,17.41
1984,Textiles,1175,53206,2.21,14,889,32.17,91,50693,0.18,55,126,-27.78,1266,103899,1.22,20,1015,24.73,-1084,-763,42.07
1983,Agricultural products,2509,242665,1.03,24,2822,-11.09,2227,254458,0.88,25,1469,51.6,4736,497123,0.95,24,4291,10.37,-282,-1353,-79.16
1983,Clothing,694,38415,1.81,11,625,11.04,1,41234,0.0,98,0,,695,79649,0.87,23,625,11.2,-693,-625,10.88
1983,Food,2187,182301,1.2,18,2501,-12.55,1783,183894,0.97,22,0,,3970,366195,1.08,17,2501,58.74,-404,-2501,-83.85
1983,Fuels and mining products,1985,390394,0.51,40,1908,4.04,5549,450244,1.23,17,6868,-19.21,7534,840638,0.9,30,8776,-14.15,3564,4960,-28.15
1983,Manufactures,4632,1031413,0.45,30,4608,0.52,7503,1039035,0.72,32,6281,19.46,12135,2070448,0.59,32,10889,11.44,2871,1673,71.61
1983,Office and telecom equipment,29,101192,0.03,38,29,0.0,253,98006,0.26,41,0,,282,199198,0.14,42,29,872.41,224,-29,-872.41
1983,Textiles,889,49929,1.78,16,1064,-16.45,126,46084,0.27,47,0,,1015,96013,1.06,22,1064,-4.61,-763,-1064,-28.29
1982,Agricultural products,2822,244228,1.16,19,2841,-0.67,1469,256044,0.57,34,1600,-8.19,4291,500272,0.86,26,4441,-3.38,-1353,-1241,9.02
1982,Clothing,625,38211,1.64,14,755,-17.22,0,40769,0.0,109,0,,625,78980,0.79,25,755,-17.22,-625,-755,-17.22
1982,Food,2501,185788,1.35,16,2500,0.04,0,183726,0.0,126,1235,-100.0,2501,369514,0.68,31,3735,-33.04,-2501,-1265,97.71
1982,Fuels and mining products,1908,440587,0.43,40,496,284.68,6868,495495,1.39,15,7162,-4.1,8776,936082,0.94,29,7658,14.6,4960,6666,-25.59
1982,Manufactures,4608,996724,0.46,29,4935,-6.63,6281,974405,0.64,36,5692,10.35,10889,1971129,0.55,35,10627,2.47,1673,757,121.0
1982,Office and telecom equipment,29,87113,0.03,38,17,70.59,0,85908,0.0,121,136,-100.0,29,173021,0.02,76,153,-81.05,-29,119,-124.37
1982,Textiles,1064,48906,2.18,14,1168,-8.9,0,46101,0.0,113,84,-100.0,1064,95007,1.12,21,1252,-15.02,-1064,-1084,-1.85
1981,Agricultural products,2841,270541,1.05,23,2841,0.0,1600,280137,0.57,36,1483,7.89,4441,550678,0.81,29,4324,2.71,-1241,-1358,-8.62
1981,Clothing,755,39260,1.92,12,673,12.18,0,40952,0.0,117,0,,755,80212,0.94,21,673,12.18,-755,-673,12.18
1981,Food,2500,204396,1.22,17,2413,3.61,1235,198901,0.62,31,1242,-0.56,3735,403297,0.93,21,3655,2.19,-1265,-1171,8.03
1981,Fuels and mining products,496,500075,0.1,62,681,-27.17,7162,558176,1.28,15,6981,2.59,7658,1058251,0.72,31,7662,-0.05,6666,6300,5.81
1981,Manufactures,4935,1045871,0.47,29,5035,-1.99,5692,1017342,0.56,41,5353,6.33,10627,2063213,0.52,33,10388,2.3,757,318,138.05
1981,Office and telecom equipment,17,87796,0.02,39,19,-10.53,136,84924,0.16,50,97,40.21,153,172720,0.09,50,116,31.9,119,78,52.56
1981,Textiles,1168,53852,2.17,14,1306,-10.57,84,49821,0.17,57,72,16.67,1252,103673,1.21,19,1378,-9.14,-1084,-1234,-12.16
1980,Agricultural products,2841,274306,1.04,26,,,1483,288922,0.51,39,,,4324,563228,0.77,31,,,-1358,,
1980,Chemicals,359,144992,0.25,23,,,0,117383,0.0,38,,,359,262375,0.14,33,,,-359,,
1980,Clothing,673,40824,1.65,14,,,0,49898,0.0,121,,,673,90722,0.74,24,,,-673,,
1980,Food,2413,213933,1.13,20,,,1242,213106,0.58,34,,,3655,427039,0.86,22,,,-1171,,
1980,Fuels and mining products,681,525979,0.13,61,,,6981,565532,1.23,16,,,7662,1091511,0.7,33,,,6300,,
1980,Iron and steel,99,66193,0.15,23,,,841,74520,1.13,23,,,940,140713,0.67,28,,,742,,
1980,Manufactures,5035,1043811,0.48,28,,,5353,1019866,0.52,41,,,10388,2063677,0.5,34,,,318,,
1980,Office and telecom equipment,19,89413,0.02,40,,,97,81095,0.12,49,,,116,170508,0.07,49,,,78,,
1980,Textiles,1306,61754,2.11,15,,,72,59124,0.12,61,,,1378,120878,1.14,19,,,-1234,,
