Year,Product,India_Exports,Global_Exports,India_Export_Percentage,Export_Rank,Prev_Exports,Export_Growth_Percentage,India_Imports,Global_Imports,India_Import_Percentage,Import_Rank,Prev_Imports,Import_Growth_Percentage,India_Total_Trade,Global_Total_Trade,India_Total_Trade_Percentage,Trade_Rank,Prev_Total_Trade,Total_Trade_Growth_Percentage,Trade_Deficit,Prev_Trade_Deficit,Trade_Deficit_Growth_Percentage
1994,Agricultural products,4399,484526,0.91,25,4167,5.57,2944,512284,0.57,33,1509,95.1,7343,996810,0.74,30,5676,29.37,-1455,-2658,-45.26
1994,Automotive products,497,390603,0.13,31,332,49.7,283,373277,0.08,59,216,31.02,780,763880,0.1,49,548,42.34,-214,-116,84.48
1994,Chemicals,2155,383789,0.56,27,1545,39.48,4213,385720,1.09,24,3002,40.34,6368,769509,0.83,25,4547,40.05,2058,1457,41.25
1994,Clothing,3701,146912,2.52,11,2970,24.61,4,151934,0.0,101,3,33.33,3705,298846,1.24,17,2973,24.62,-3697,-2967,24.6
1994,Electronic data processing and office equipment,157,137758,0.11,18,116,35.34,286,115765,0.25,23,200,43.0,443,253523,0.17,21,316,40.19,129,84,53.57
1994,Food,4085,373000,1.1,23,3729,9.55,1700,387441,0.44,36,721,135.78,5785,760441,0.76,29,4450,30.0,-2385,-3008,-20.71
1994,Fuels,513,187208,0.27,36,495,3.64,6819,324498,2.1,12,6325,7.81,7332,511706,1.43,21,6820,7.51,6306,5830,8.16
1994,Fuels and mining products,1500,406903,0.37,48,1404,6.84,8951,421275,2.12,13,7548,18.59,10451,828178,1.26,26,8952,16.74,7451,6144,21.27
1994,Integrated circuits and electronic components,34,106795,0.03,18,25,36.0,269,104733,0.26,17,212,26.89,303,211528,0.14,17,237,27.85,235,187,25.67
1994,Iron and steel,699,115343,0.61,31,771,-9.34,1147,117531,0.98,25,775,48.0,1846,232874,0.79,31,1546,19.4,448,4,11100.0
1994,Machinery and transport equipment,1893,1621734,0.12,37,1516,24.87,5445,1550298,0.35,41,4336,25.58,7338,3172032,0.23,40,5852,25.39,3552,2820,25.96
1994,Manufactures,19985,3138066,0.64,28,16303,22.58,14383,3088542,0.47,39,12313,16.81,34368,6226608,0.55,30,28616,20.1,-5602,-3990,40.4
1994,Office and telecom equipment,261,490716,0.05,35,189,38.1,816,487169,0.17,43,585,39.49,1077,977885,0.11,42,774,39.15,555,396,40.15
1994,Pharmaceuticals,586,20234,2.9,6,483,21.33,298,23995,1.24,19,258,15.5,884,44229,2.0,10,741,19.3,-288,-225,28.0
1994,Telecommunications equipment,70,122079,0.06,20,48,45.83,261,103031,0.25,27,173,50.87,331,225110,0.15,24,221,49.77,191,125,52.8
1994,Textiles,3829,139920,2.74,13,2917,31.26,325,126772,0.26,51,228,42.54,4154,266692,1.56,13,3145,32.08,-3504,-2689,30.31
1994,Transport equipment,875,297263,0.29,16,705,24.11,1244,272539,0.46,22,1360,-8.53,2119,569802,0.37,21,2065,2.62,369,655,-43.66
1993,Agricultural products,4167,420232,0.99,25,3676,13.36,1509,440678,0.34,43,1825,-17.32,5676,860910,0.66,32,5501,3.18,-2658,-1851,43.6
1993,Automotive products,332,343268,0.1,33,341,-2.64,216,323493,0.07,67,204,5.88,548,666761,0.08,49,545,0.55,-116,-137,-15.33
1993,Chemicals,1545,318675,0.48,26,1392,10.99,3002,327595,0.92,27,3468,-13.44,4547,646270,0.7,27,4860,-6.44,1457,2076,-29.82
1993,Clothing,2970,133913,2.22,13,3099,-4.16,3,138799,0.0,93,4,-25.0,2973,272712,1.09,21,3103,-4.19,-2967,-3095,-4.14
1993,Electronic data processing and office equipment,116,116492,0.1,18,76,52.63,200,93882,0.21,25,182,9.89,316,210374,0.15,23,258,22.48,84,106,-20.75
1993,Food,3729,328120,1.14,22,3346,11.45,721,328456,0.22,52,924,-21.97,4450,656576,0.68,29,4270,4.22,-3008,-2422,24.19
1993,Fuels,495,182253,0.27,34,586,-15.53,6325,322631,1.96,12,7217,-12.36,6820,504884,1.35,21,7803,-12.6,5830,6631,-12.08
1993,Fuels and mining products,1404,390533,0.36,47,1530,-8.24,7548,402510,1.88,15,8863,-14.84,8952,793043,1.13,28,10393,-13.87,6144,7333,-16.21
1993,Integrated circuits and electronic components,25,77961,0.03,18,23,8.7,212,77264,0.27,19,241,-12.03,237,155225,0.15,19,264,-10.23,187,218,-14.22
1993,Iron and steel,771,98451,0.78,28,499,54.51,775,102502,0.76,27,816,-5.02,1546,200953,0.77,30,1315,17.57,4,317,-98.74
1993,Machinery and transport equipment,1516,1389626,0.11,37,1454,4.26,4336,1313377,0.33,44,3458,25.39,5852,2703003,0.22,41,4912,19.14,2820,2004,40.72
1993,Manufactures,16303,2717436,0.6,28,15148,7.62,12313,2662997,0.46,41,12028,2.37,28616,5380433,0.53,33,27176,5.3,-3990,-3120,27.88
1993,Office and telecom equipment,189,395086,0.05,36,143,32.17,585,391211,0.15,46,602,-2.82,774,786297,0.1,45,745,3.89,396,459,-13.73
1993,Pharmaceuticals,483,17855,2.71,6,431,12.06,258,20761,1.24,19,314,-17.83,741,38616,1.92,10,745,-0.54,-225,-117,92.31
1993,Telecommunications equipment,48,101046,0.05,22,43,11.63,173,83162,0.21,27,180,-3.89,221,184208,0.12,25,223,-0.9,125,137,-8.76
1993,Textiles,2917,120072,2.43,14,2932,-0.51,228,109643,0.21,54,166,37.35,3145,229715,1.37,20,3098,1.52,-2689,-2766,-2.78
1993,Transport equipment,705,274448,0.26,16,702,0.43,1360,236039,0.58,23,604,125.17,2065,510487,0.4,20,1306,58.12,655,-98,-768.37
1992,Agricultural products,3676,441225,0.83,27,3361,9.37,1825,464795,0.39,38,1135,60.79,5501,906020,0.61,33,4496,22.35,-1851,-2226,-16.85
1992,Automotive products,341,360178,0.09,30,292,16.78,204,351516,0.06,66,168,21.43,545,711694,0.08,47,460,18.48,-137,-124,10.48
